Product Item Number,Product Type,Quantity Produced,Ingredient 1,Ingredient 2,Ingredient 3,Ingredient 4,Ingredient 5,Ingredient 6,Primary Chakra,Primary is Boon,Secondary Chakra,Secondary is Boon,Tier
6107,Bath,2,,,,,,,Earth,Boon,,,4
6102,Bath,1,,,,,,,Earth,Bane,,,1
6104,Bath,1,,,,,,,Earth,Bane,,,2
6106,Bath,1,,,,,,,Earth,Bane,,,3
6108,Bath,2,,,,,,,Earth,Bane,,,4
6101,Incense,1,,,,,,,Earth,Boon,,,1
6103,Incense,1,,,,,,,Earth,Boon,,,2
6105,Incense,1,,,,,,,Earth,Boon,,,3
6107,Incense,2,,,,,,,Earth,Boon,,,4
6102,Incense,1,,,,,,,Earth,Bane,,,1
6104,Incense,1,,,,,,,Earth,Bane,,,2
6106,Incense,1,,,,,,,Earth,Bane,,,3
6108,Incense,2,,,,,,,Earth,Bane,,,4
6201,Tea,1,,,,,,,Water,Boon,,,1
6203,Tea,1,,,,,,,Water,Boon,,,2
6205,Tea,1,,,,,,,Water,Boon,,,3
6207,Tea,2,,,,,,,Water,Boon,,,4
6202,Tea,1,,,,,,,Water,Bane,,,1
6204,Tea,1,,,,,,,Water,Bane,,,2
6206,Tea,1,,,,,,,Water,Bane,,,3
6208,Tea,2,,,,,,,Water,Bane,,,4
6201,Tincture,1,,,,,,,Water,Boon,,,1
6203,Tincture,1,,,,,,,Water,Boon,,,2
6205,Tincture,1,,,,,,,Water,Boon,,,3
6207,Tincture,2,,,,,,,Water,Boon,,,4
6202,Tincture,1,,,,,,,Water,Bane,,,1
6204,Tincture,1,,,,,,,Water,Bane,,,2
6206,Tincture,1,,,,,,,Water,Bane,,,3
6208,Tincture,2,,,,,,,Water,Bane,,,4
6201,Salve,1,,,,,,,Water,Boon,,,1
6203,Salve,1,,,,,,,Water,Boon,,,2
6205,Salve,1,,,,,,,Water,Boon,,,3
6207,Salve,2,,,,,,,Water,Boon,,,4
6202,Salve,1,,,,,,,Water,Bane,,,1
6204,Salve,1,,,,,,,Water,Bane,,,2
6206,Salve,1,,,,,,,Water,Bane,,,3
6208,Salve,2,,,,,,,Water,Bane,,,4
6201,Decoction,1,,,,,,,Water,Boon,,,1
6203,Decoction,1,,,,,,,Water,Boon,,,2
6205,Decoction,1,,,,,,,Water,Boon,,,3
6207,Decoction,2,,,,,,,Water,Boon,,,4
6202,Decoction,1,,,,,,,Water,Bane,,,1
6204,Decoction,1,,,,,,,Water,Bane,,,2
6206,Decoction,1,,,,,,,Water,Bane,,,3
6208,Decoction,2,,,,,,,Water,Bane,,,4
6201,Bath,1,,,,,,,Water,Boon,,,1
6203,Bath,1,,,,,,,Water,Boon,,,2
6205,Bath,1,,,,,,,Water,Boon,,,3
6207,Bath,2,,,,,,,Water,Boon,,,4
6202,Bath,1,,,,,,,Water,Bane,,,1
6204,Bath,1,,,,,,,Water,Bane,,,2
6206,Bath,1,,,,,,,Water,Bane,,,3
6208,Bath,2,,,,,,,Water,Bane,,,4
6201,Incense,1,,,,,,,Water,Boon,,,1
6203,Incense,1,,,,,,,Water,Boon,,,2
6205,Incense,1,,,,,,,Water,Boon,,,3
6207,Incense,2,,,,,,,Water,Boon,,,4
6202,Incense,1,,,,,,,Water,Bane,,,1
6204,Incense,1,,,,,,,Water,Bane,,,2
6206,Incense,1,,,,,,,Water,Bane,,,3
6208,Incense,2,,,,,,,Water,Bane,,,4
6301,Tea,1,,,,,,,Fire,Boon,,,1
6303,Tea,1,,,,,,,Fire,Boon,,,2
6305,Tea,1,,,,,,,Fire,Boon,,,3
6307,Tea,2,,,,,,,Fire,Boon,,,4
6302,Tea,1,,,,,,,Fire,Bane,,,1
6304,Tea,1,,,,,,,Fire,Bane,,,2
6306,Tea,1,,,,,,,Fire,Bane,,,3
6308,Tea,2,,,,,,,Fire,Bane,,,4
6301,Tincture,1,,,,,,,Fire,Boon,,,1
6303,Tincture,1,,,,,,,Fire,Boon,,,2
6305,Tincture,1,,,,,,,Fire,Boon,,,3
6307,Tincture,2,,,,,,,Fire,Boon,,,4
6302,Tincture,1,,,,,,,Fire,Bane,,,1
6304,Tincture,1,,,,,,,Fire,Bane,,,2
6306,Tincture,1,,,,,,,Fire,Bane,,,3
6308,Tincture,2,,,,,,,Fire,Bane,,,4
6301,Salve,1,,,,,,,Fire,Boon,,,1
6303,Salve,1,,,,,,,Fire,Boon,,,2
6305,Salve,1,,,,,,,Fire,Boon,,,3
6307,Salve,2,,,,,,,Fire,Boon,,,4
6302,Salve,1,,,,,,,Fire,Bane,,,1
6304,Salve,1,,,,,,,Fire,Bane,,,2
6306,Salve,1,,,,,,,Fire,Bane,,,3
6308,Salve,2,,,,,,,Fire,Bane,,,4
6301,Decoction,1,,,,,,,Fire,Boon,,,1
6303,Decoction,1,,,,,,,Fire,Boon,,,2
6305,Decoction,1,,,,,,,Fire,Boon,,,3
6307,Decoction,2,,,,,,,Fire,Boon,,,4
6302,Decoction,1,,,,,,,Fire,Bane,,,1
6304,Decoction,1,,,,,,,Fire,Bane,,,2
6306,Decoction,1,,,,,,,Fire,Bane,,,3
6308,Decoction,2,,,,,,,Fire,Bane,,,4
6301,Bath,1,,,,,,,Fire,Boon,,,1
6303,Bath,1,,,,,,,Fire,Boon,,,2
6305,Bath,1,,,,,,,Fire,Boon,,,3
6307,Bath,2,,,,,,,Fire,Boon,,,4
6302,Bath,1,,,,,,,Fire,Bane,,,1
6304,Bath,1,,,,,,,Fire,Bane,,,2
6306,Bath,1,,,,,,,Fire,Bane,,,3
6308,Bath,2,,,,,,,Fire,Bane,,,4
6301,Incense,1,,,,,,,Fire,Boon,,,1
6303,Incense,1,,,,,,,Fire,Boon,,,2
6305,Incense,1,,,,,,,Fire,Boon,,,3
6307,Incense,2,,,,,,,Fire,Boon,,,4
6302,Incense,1,,,,,,,Fire,Bane,,,1
6304,Incense,1,,,,,,,Fire,Bane,,,2
6306,Incense,1,,,,,,,Fire,Bane,,,3
6308,Incense,2,,,,,,,Fire,Bane,,,4
6401,Tea,1,,,,,,,Air,Boon,,,1
6403,Tea,1,,,,,,,Air,Boon,,,2
6405,Tea,1,,,,,,,Air,Boon,,,3
6407,Tea,2,,,,,,,Air,Boon,,,4
6402,Tea,1,,,,,,,Air,Bane,,,1
6404,Tea,1,,,,,,,Air,Bane,,,2
6406,Tea,1,,,,,,,Air,Bane,,,3
6408,Tea,2,,,,,,,Air,Bane,,,4
6401,Tincture,1,,,,,,,Air,Boon,,,1
6403,Tincture,1,,,,,,,Air,Boon,,,2
6405,Tincture,1,,,,,,,Air,Boon,,,3
6407,Tincture,2,,,,,,,Air,Boon,,,4
6402,Tincture,1,,,,,,,Air,Bane,,,1
6404,Tincture,1,,,,,,,Air,Bane,,,2
6406,Tincture,1,,,,,,,Air,Bane,,,3
6408,Tincture,2,,,,,,,Air,Bane,,,4
6401,Salve,1,,,,,,,Air,Boon,,,1
6403,Salve,1,,,,,,,Air,Boon,,,2
6405,Salve,1,,,,,,,Air,Boon,,,3
6407,Salve,2,,,,,,,Air,Boon,,,4
6402,Salve,1,,,,,,,Air,Bane,,,1
6404,Salve,1,,,,,,,Air,Bane,,,2
6406,Salve,1,,,,,,,Air,Bane,,,3
6408,Salve,2,,,,,,,Air,Bane,,,4
6401,Decoction,1,,,,,,,Air,Boon,,,1
6403,Decoction,1,,,,,,,Air,Boon,,,2
6405,Decoction,1,,,,,,,Air,Boon,,,3
6407,Decoction,2,,,,,,,Air,Boon,,,4
6402,Decoction,1,,,,,,,Air,Bane,,,1
6404,Decoction,1,,,,,,,Air,Bane,,,2
6406,Decoction,1,,,,,,,Air,Bane,,,3
6408,Decoction,2,,,,,,,Air,Bane,,,4
6401,Bath,1,,,,,,,Air,Boon,,,1
6403,Bath,1,,,,,,,Air,Boon,,,2
6405,Bath,1,,,,,,,Air,Boon,,,3
6407,Bath,2,,,,,,,Air,Boon,,,4
6402,Bath,1,,,,,,,Air,Bane,,,1
6404,Bath,1,,,,,,,Air,Bane,,,2
6406,Bath,1,,,,,,,Air,Bane,,,3
6408,Bath,2,,,,,,,Air,Bane,,,4
6401,Incense,1,,,,,,,Air,Boon,,,1
6403,Incense,1,,,,,,,Air,Boon,,,2
6405,Incense,1,,,,,,,Air,Boon,,,3
6407,Incense,2,,,,,,,Air,Boon,,,4
6402,Incense,1,,,,,,,Air,Bane,,,1
6404,Incense,1,,,,,,,Air,Bane,,,2
6406,Incense,1,,,,,,,Air,Bane,,,3
6408,Incense,2,,,,,,,Air,Bane,,,4
6501,Tea,1,,,,,,,Sound,Boon,,,1
6503,Tea,1,,,,,,,Sound,Boon,,,2
6505,Tea,1,,,,,,,Sound,Boon,,,3
6507,Tea,2,,,,,,,Sound,Boon,,,4
6502,Tea,1,,,,,,,Sound,Bane,,,1
6504,Tea,1,,,,,,,Sound,Bane,,,2
6506,Tea,1,,,,,,,Sound,Bane,,,3
6508,Tea,2,,,,,,,Sound,Bane,,,4
6501,Tincture,1,,,,,,,Sound,Boon,,,1
6503,Tincture,1,,,,,,,Sound,Boon,,,2
6505,Tincture,1,,,,,,,Sound,Boon,,,3
6507,Tincture,2,,,,,,,Sound,Boon,,,4
6502,Tincture,1,,,,,,,Sound,Bane,,,1
6504,Tincture,1,,,,,,,Sound,Bane,,,2
6506,Tincture,1,,,,,,,Sound,Bane,,,3
6508,Tincture,2,,,,,,,Sound,Bane,,,4
6501,Salve,1,,,,,,,Sound,Boon,,,1
6503,Salve,1,,,,,,,Sound,Boon,,,2
6505,Salve,1,,,,,,,Sound,Boon,,,3
6507,Salve,2,,,,,,,Sound,Boon,,,4
6502,Salve,1,,,,,,,Sound,Bane,,,1
6504,Salve,1,,,,,,,Sound,Bane,,,2
6506,Salve,1,,,,,,,Sound,Bane,,,3
6508,Salve,2,,,,,,,Sound,Bane,,,4
6501,Decoction,1,,,,,,,Sound,Boon,,,1
6503,Decoction,1,,,,,,,Sound,Boon,,,2
6505,Decoction,1,,,,,,,Sound,Boon,,,3
6507,Decoction,2,,,,,,,Sound,Boon,,,4
6502,Decoction,1,,,,,,,Sound,Bane,,,1
6504,Decoction,1,,,,,,,Sound,Bane,,,2
6506,Decoction,1,,,,,,,Sound,Bane,,,3
6508,Decoction,2,,,,,,,Sound,Bane,,,4
6501,Bath,1,,,,,,,Sound,Boon,,,1
6503,Bath,1,,,,,,,Sound,Boon,,,2
6505,Bath,1,,,,,,,Sound,Boon,,,3
6507,Bath,2,,,,,,,Sound,Boon,,,4
6502,Bath,1,,,,,,,Sound,Bane,,,1
6504,Bath,1,,,,,,,Sound,Bane,,,2
6506,Bath,1,,,,,,,Sound,Bane,,,3
6508,Bath,2,,,,,,,Sound,Bane,,,4
6501,Incense,1,,,,,,,Sound,Boon,,,1
6503,Incense,1,,,,,,,Sound,Boon,,,2
6505,Incense,1,,,,,,,Sound,Boon,,,3
6507,Incense,2,,,,,,,Sound,Boon,,,4
6502,Incense,1,,,,,,,Sound,Bane,,,1
6504,Incense,1,,,,,,,Sound,Bane,,,2
6506,Incense,1,,,,,,,Sound,Bane,,,3
6508,Incense,2,,,,,,,Sound,Bane,,,4
6601,Tea,1,,,,,,,Light,Boon,,,1
6603,Tea,1,,,,,,,Light,Boon,,,2
6605,Tea,1,,,,,,,Light,Boon,,,3
6607,Tea,2,,,,,,,Light,Boon,,,4
6602,Tea,1,,,,,,,Light,Bane,,,1
6604,Tea,1,,,,,,,Light,Bane,,,2
6606,Tea,1,,,,,,,Light,Bane,,,3
6608,Tea,2,,,,,,,Light,Bane,,,4
6601,Tincture,1,,,,,,,Light,Boon,,,1
6603,Tincture,1,,,,,,,Light,Boon,,,2
6605,Tincture,1,,,,,,,Light,Boon,,,3
6607,Tincture,2,,,,,,,Light,Boon,,,4
6602,Tincture,1,,,,,,,Light,Bane,,,1
6604,Tincture,1,,,,,,,Light,Bane,,,2
6606,Tincture,1,,,,,,,Light,Bane,,,3
6608,Tincture,2,,,,,,,Light,Bane,,,4
6601,Salve,1,,,,,,,Light,Boon,,,1
6603,Salve,1,,,,,,,Light,Boon,,,2
6605,Salve,1,,,,,,,Light,Boon,,,3
6607,Salve,2,,,,,,,Light,Boon,,,4
6602,Salve,1,,,,,,,Light,Bane,,,1
6604,Salve,1,,,,,,,Light,Bane,,,2
6606,Salve,1,,,,,,,Light,Bane,,,3
6608,Salve,2,,,,,,,Light,Bane,,,4
6601,Decoction,1,,,,,,,Light,Boon,,,1
6603,Decoction,1,,,,,,,Light,Boon,,,2
6605,Decoction,1,,,,,,,Light,Boon,,,3
6607,Decoction,2,,,,,,,Light,Boon,,,4
6602,Decoction,1,,,,,,,Light,Bane,,,1
6604,Decoction,1,,,,,,,Light,Bane,,,2
6606,Decoction,1,,,,,,,Light,Bane,,,3
6608,Decoction,2,,,,,,,Light,Bane,,,4
6601,Bath,1,,,,,,,Light,Boon,,,1
6603,Bath,1,,,,,,,Light,Boon,,,2
6605,Bath,1,,,,,,,Light,Boon,,,3
6607,Bath,2,,,,,,,Light,Boon,,,4
6602,Bath,1,,,,,,,Light,Bane,,,1
6604,Bath,1,,,,,,,Light,Bane,,,2
6606,Bath,1,,,,,,,Light,Bane,,,3
6608,Bath,2,,,,,,,Light,Bane,,,4
6601,Incense,1,,,,,,,Light,Boon,,,1
6603,Incense,1,,,,,,,Light,Boon,,,2
6605,Incense,1,,,,,,,Light,Boon,,,3
6607,Incense,2,,,,,,,Light,Boon,,,4
6602,Incense,1,,,,,,,Light,Bane,,,1
6604,Incense,1,,,,,,,Light,Bane,,,2
6606,Incense,1,,,,,,,Light,Bane,,,3
6608,Incense,2,,,,,,,Light,Bane,,,4
6701,Tea,1,,,,,,,Thought,Boon,,,1
6703,Tea,1,,,,,,,Thought,Boon,,,2
6705,Tea,1,,,,,,,Thought,Boon,,,3
6707,Tea,2,,,,,,,Thought,Boon,,,4
6702,Tea,1,,,,,,,Thought,Bane,,,1
6704,Tea,1,,,,,,,Thought,Bane,,,2
6706,Tea,1,,,,,,,Thought,Bane,,,3
6708,Tea,2,,,,,,,Thought,Bane,,,4
6701,Tincture,1,,,,,,,Thought,Boon,,,1
6703,Tincture,1,,,,,,,Thought,Boon,,,2
6705,Tincture,1,,,,,,,Thought,Boon,,,3
6707,Tincture,2,,,,,,,Thought,Boon,,,4
6702,Tincture,1,,,,,,,Thought,Bane,,,1
6704,Tincture,1,,,,,,,Thought,Bane,,,2
6706,Tincture,1,,,,,,,Thought,Bane,,,3
6708,Tincture,2,,,,,,,Thought,Bane,,,4
6701,Salve,1,,,,,,,Thought,Boon,,,1
6703,Salve,1,,,,,,,Thought,Boon,,,2
6705,Salve,1,,,,,,,Thought,Boon,,,3
6707,Salve,2,,,,,,,Thought,Boon,,,4
6702,Salve,1,,,,,,,Thought,Bane,,,1
6704,Salve,1,,,,,,,Thought,Bane,,,2
6706,Salve,1,,,,,,,Thought,Bane,,,3
6708,Salve,2,,,,,,,Thought,Bane,,,4
6701,Decoction,1,,,,,,,Thought,Boon,,,1
6703,Decoction,1,,,,,,,Thought,Boon,,,2
6705,Decoction,1,,,,,,,Thought,Boon,,,3
6707,Decoction,2,,,,,,,Thought,Boon,,,4
6702,Decoction,1,,,,,,,Thought,Bane,,,1
6704,Decoction,1,,,,,,,Thought,Bane,,,2
6706,Decoction,1,,,,,,,Thought,Bane,,,3
6708,Decoction,2,,,,,,,Thought,Bane,,,4
6701,Bath,1,,,,,,,Thought,Boon,,,1
6703,Bath,1,,,,,,,Thought,Boon,,,2
6705,Bath,1,,,,,,,Thought,Boon,,,3
6707,Bath,2,,,,,,,Thought,Boon,,,4
6702,Bath,1,,,,,,,Thought,Bane,,,1
6704,Bath,1,,,,,,,Thought,Bane,,,2
6706,Bath,1,,,,,,,Thought,Bane,,,3
6708,Bath,2,,,,,,,Thought,Bane,,,4
6701,Incense,1,,,,,,,Thought,Boon,,,1
6703,Incense,1,,,,,,,Thought,Boon,,,2
6705,Incense,1,,,,,,,Thought,Boon,,,3
6707,Incense,2,,,,,,,Thought,Boon,,,4
6702,Incense,1,,,,,,,Thought,Bane,,,1
6704,Incense,1,,,,,,,Thought,Bane,,,2
6706,Incense,1,,,,,,,Thought,Bane,,,3
6708,Incense,2,,,,,,,Thought,Bane,,,4
