Product Item Number,Product Type,Quantity Produced,Ingredient 1,Ingredient 2,Ingredient 3,Ingredient 4,Ingredient 5,Ingredient 6,Primary Chakra,Primary is Boon,Secondary Chakra,Secondary is Boon,Tier
6989,Salve,1,5684,5999,,,,,,Bane,,,
6989,Salve,1,5784,5999,,,,,,Bane,,,
6989,Bath,1,5184,5999,,,,,,Bane,,,
6989,Bath,1,5284,5999,,,,,,Bane,,,
6989,Bath,1,5384,5999,,,,,,Bane,,,
6989,Bath,1,5484,5999,,,,,,Bane,,,
6989,Bath,1,5584,5999,,,,,,Bane,,,
6989,Bath,1,5684,5999,,,,,,Bane,,,
6989,Bath,1,5784,5999,,,,,,Bane,,,
6989,Incense,1,5184,5999,,,,,,Bane,,,
6989,Incense,1,5284,5999,,,,,,Bane,,,
6989,Incense,1,5384,5999,,,,,,Bane,,,
6989,Incense,1,5484,5999,,,,,,Bane,,,
6989,Incense,1,5584,5999,,,,,,Bane,,,
6989,Incense,1,5684,5999,,,,,,Bane,,,
6989,Incense,1,5784,5999,,,,,,Bane,,,
