Product Item Number,Product Type,Quantity Produced,Ingredient 1,Ingredient 2,Ingredient 3,Ingredient 4,Ingredient 5,Ingredient 6,Primary Chakra,Primary is Boon,Secondary Chakra,Secondary is Boon,Tier
6291,Incense,1,,,,,,,Water,Boon,,,1
6293,Incense,1,,,,,,,Water,Boon,,,2
6295,Incense,1,,,,,,,Water,Boon,,,3
6297,Incense,2,,,,,,,Water,Boon,,,4
6292,Incense,1,,,,,,,Water,Bane,,,1
6294,Incense,1,,,,,,,Water,Bane,,,2
6296,Incense,1,,,,,,,Water,Bane,,,3
6298,Incense,2,,,,,,,Water,Bane,,,4
6391,Tea,1,,,,,,,Fire,Boon,,,1
6393,Tea,1,,,,,,,Fire,Boon,,,2
6395,Tea,1,,,,,,,Fire,Boon,,,3
6397,Tea,2,,,,,,,Fire,Boon,,,4
6392,Tea,1,,,,,,,Fire,Bane,,,1
6394,Tea,1,,,,,,,Fire,Bane,,,2
6396,Tea,1,,,,,,,Fire,Bane,,,3
6398,Tea,2,,,,,,,Fire,Bane,,,4
6391,Tincture,1,,,,,,,Fire,Boon,,,1
6393,Tincture,1,,,,,,,Fire,Boon,,,2
6395,Tincture,1,,,,,,,Fire,Boon,,,3
6397,Tincture,2,,,,,,,Fire,Boon,,,4
6392,Tincture,1,,,,,,,Fire,Bane,,,1
6394,Tincture,1,,,,,,,Fire,Bane,,,2
6396,Tincture,1,,,,,,,Fire,Bane,,,3
6398,Tincture,2,,,,,,,Fire,Bane,,,4
6391,Salve,1,,,,,,,Fire,Boon,,,1
6393,Salve,1,,,,,,,Fire,Boon,,,2
6395,Salve,1,,,,,,,Fire,Boon,,,3
6397,Salve,2,,,,,,,Fire,Boon,,,4
6392,Salve,1,,,,,,,Fire,Bane,,,1
6394,Salve,1,,,,,,,Fire,Bane,,,2
6396,Salve,1,,,,,,,Fire,Bane,,,3
6398,Salve,2,,,,,,,Fire,Bane,,,4
6391,Decoction,1,,,,,,,Fire,Boon,,,1
6393,Decoction,1,,,,,,,Fire,Boon,,,2
6395,Decoction,1,,,,,,,Fire,Boon,,,3
6397,Decoction,2,,,,,,,Fire,Boon,,,4
6392,Decoction,1,,,,,,,Fire,Bane,,,1
6394,Decoction,1,,,,,,,Fire,Bane,,,2
6396,Decoction,1,,,,,,,Fire,Bane,,,3
6398,Decoction,2,,,,,,,Fire,Bane,,,4
6391,Bath,1,,,,,,,Fire,Boon,,,1
6393,Bath,1,,,,,,,Fire,Boon,,,2
6395,Bath,1,,,,,,,Fire,Boon,,,3
6397,Bath,2,,,,,,,Fire,Boon,,,4
6392,Bath,1,,,,,,,Fire,Bane,,,1
6394,Bath,1,,,,,,,Fire,Bane,,,2
6396,Bath,1,,,,,,,Fire,Bane,,,3
6398,Bath,2,,,,,,,Fire,Bane,,,4
6391,Incense,1,,,,,,,Fire,Boon,,,1
6393,Incense,1,,,,,,,Fire,Boon,,,2
6395,Incense,1,,,,,,,Fire,Boon,,,3
6397,Incense,2,,,,,,,Fire,Boon,,,4
6392,Incense,1,,,,,,,Fire,Bane,,,1
6394,Incense,1,,,,,,,Fire,Bane,,,2
6396,Incense,1,,,,,,,Fire,Bane,,,3
6398,Incense,2,,,,,,,Fire,Bane,,,4
6491,Tea,1,,,,,,,Air,Boon,,,1
6493,Tea,1,,,,,,,Air,Boon,,,2
6495,Tea,1,,,,,,,Air,Boon,,,3
6497,Tea,2,,,,,,,Air,Boon,,,4
6492,Tea,1,,,,,,,Air,Bane,,,1
6494,Tea,1,,,,,,,Air,Bane,,,2
6496,Tea,1,,,,,,,Air,Bane,,,3
6498,Tea,2,,,,,,,Air,Bane,,,4
6491,Tincture,1,,,,,,,Air,Boon,,,1
6493,Tincture,1,,,,,,,Air,Boon,,,2
6495,Tincture,1,,,,,,,Air,Boon,,,3
6497,Tincture,2,,,,,,,Air,Boon,,,4
6492,Tincture,1,,,,,,,Air,Bane,,,1
6494,Tincture,1,,,,,,,Air,Bane,,,2
6496,Tincture,1,,,,,,,Air,Bane,,,3
6498,Tincture,2,,,,,,,Air,Bane,,,4
6491,Salve,1,,,,,,,Air,Boon,,,1
6493,Salve,1,,,,,,,Air,Boon,,,2
6495,Salve,1,,,,,,,Air,Boon,,,3
6497,Salve,2,,,,,,,Air,Boon,,,4
6492,Salve,1,,,,,,,Air,Bane,,,1
6494,Salve,1,,,,,,,Air,Bane,,,2
6496,Salve,1,,,,,,,Air,Bane,,,3
6498,Salve,2,,,,,,,Air,Bane,,,4
6491,Decoction,1,,,,,,,Air,Boon,,,1
6493,Decoction,1,,,,,,,Air,Boon,,,2
6495,Decoction,1,,,,,,,Air,Boon,,,3
6497,Decoction,2,,,,,,,Air,Boon,,,4
6492,Decoction,1,,,,,,,Air,Bane,,,1
6494,Decoction,1,,,,,,,Air,Bane,,,2
6496,Decoction,1,,,,,,,Air,Bane,,,3
6498,Decoction,2,,,,,,,Air,Bane,,,4
6491,Bath,1,,,,,,,Air,Boon,,,1
6493,Bath,1,,,,,,,Air,Boon,,,2
6495,Bath,1,,,,,,,Air,Boon,,,3
6497,Bath,2,,,,,,,Air,Boon,,,4
6492,Bath,1,,,,,,,Air,Bane,,,1
6494,Bath,1,,,,,,,Air,Bane,,,2
6496,Bath,1,,,,,,,Air,Bane,,,3
6498,Bath,2,,,,,,,Air,Bane,,,4
6491,Incense,1,,,,,,,Air,Boon,,,1
6493,Incense,1,,,,,,,Air,Boon,,,2
6495,Incense,1,,,,,,,Air,Boon,,,3
6497,Incense,2,,,,,,,Air,Boon,,,4
6492,Incense,1,,,,,,,Air,Bane,,,1
6494,Incense,1,,,,,,,Air,Bane,,,2
6496,Incense,1,,,,,,,Air,Bane,,,3
6498,Incense,2,,,,,,,Air,Bane,,,4
6591,Tea,1,,,,,,,Sound,Boon,,,1
6593,Tea,1,,,,,,,Sound,Boon,,,2
6595,Tea,1,,,,,,,Sound,Boon,,,3
6597,Tea,2,,,,,,,Sound,Boon,,,4
6592,Tea,1,,,,,,,Sound,Bane,,,1
6594,Tea,1,,,,,,,Sound,Bane,,,2
6596,Tea,1,,,,,,,Sound,Bane,,,3
6598,Tea,2,,,,,,,Sound,Bane,,,4
6591,Tincture,1,,,,,,,Sound,Boon,,,1
6593,Tincture,1,,,,,,,Sound,Boon,,,2
6595,Tincture,1,,,,,,,Sound,Boon,,,3
6597,Tincture,2,,,,,,,Sound,Boon,,,4
6592,Tincture,1,,,,,,,Sound,Bane,,,1
6594,Tincture,1,,,,,,,Sound,Bane,,,2
6596,Tincture,1,,,,,,,Sound,Bane,,,3
6598,Tincture,2,,,,,,,Sound,Bane,,,4
6591,Salve,1,,,,,,,Sound,Boon,,,1
6593,Salve,1,,,,,,,Sound,Boon,,,2
6595,Salve,1,,,,,,,Sound,Boon,,,3
6597,Salve,2,,,,,,,Sound,Boon,,,4
6592,Salve,1,,,,,,,Sound,Bane,,,1
6594,Salve,1,,,,,,,Sound,Bane,,,2
6596,Salve,1,,,,,,,Sound,Bane,,,3
6598,Salve,2,,,,,,,Sound,Bane,,,4
6591,Decoction,1,,,,,,,Sound,Boon,,,1
6593,Decoction,1,,,,,,,Sound,Boon,,,2
6595,Decoction,1,,,,,,,Sound,Boon,,,3
6597,Decoction,2,,,,,,,Sound,Boon,,,4
6592,Decoction,1,,,,,,,Sound,Bane,,,1
6594,Decoction,1,,,,,,,Sound,Bane,,,2
6596,Decoction,1,,,,,,,Sound,Bane,,,3
6598,Decoction,2,,,,,,,Sound,Bane,,,4
6591,Bath,1,,,,,,,Sound,Boon,,,1
6593,Bath,1,,,,,,,Sound,Boon,,,2
6595,Bath,1,,,,,,,Sound,Boon,,,3
6597,Bath,2,,,,,,,Sound,Boon,,,4
6592,Bath,1,,,,,,,Sound,Bane,,,1
6594,Bath,1,,,,,,,Sound,Bane,,,2
6596,Bath,1,,,,,,,Sound,Bane,,,3
6598,Bath,2,,,,,,,Sound,Bane,,,4
6591,Incense,1,,,,,,,Sound,Boon,,,1
6593,Incense,1,,,,,,,Sound,Boon,,,2
6595,Incense,1,,,,,,,Sound,Boon,,,3
6597,Incense,2,,,,,,,Sound,Boon,,,4
6592,Incense,1,,,,,,,Sound,Bane,,,1
6594,Incense,1,,,,,,,Sound,Bane,,,2
6596,Incense,1,,,,,,,Sound,Bane,,,3
6598,Incense,2,,,,,,,Sound,Bane,,,4
6691,Tea,1,,,,,,,Light,Boon,,,1
6693,Tea,1,,,,,,,Light,Boon,,,2
6695,Tea,1,,,,,,,Light,Boon,,,3
6697,Tea,2,,,,,,,Light,Boon,,,4
6692,Tea,1,,,,,,,Light,Bane,,,1
6694,Tea,1,,,,,,,Light,Bane,,,2
6696,Tea,1,,,,,,,Light,Bane,,,3
6698,Tea,2,,,,,,,Light,Bane,,,4
6691,Tincture,1,,,,,,,Light,Boon,,,1
6693,Tincture,1,,,,,,,Light,Boon,,,2
6695,Tincture,1,,,,,,,Light,Boon,,,3
6697,Tincture,2,,,,,,,Light,Boon,,,4
6692,Tincture,1,,,,,,,Light,Bane,,,1
6694,Tincture,1,,,,,,,Light,Bane,,,2
6696,Tincture,1,,,,,,,Light,Bane,,,3
6698,Tincture,2,,,,,,,Light,Bane,,,4
6691,Salve,1,,,,,,,Light,Boon,,,1
6693,Salve,1,,,,,,,Light,Boon,,,2
6695,Salve,1,,,,,,,Light,Boon,,,3
6697,Salve,2,,,,,,,Light,Boon,,,4
6692,Salve,1,,,,,,,Light,Bane,,,1
6694,Salve,1,,,,,,,Light,Bane,,,2
6696,Salve,1,,,,,,,Light,Bane,,,3
6698,Salve,2,,,,,,,Light,Bane,,,4
6691,Decoction,1,,,,,,,Light,Boon,,,1
6693,Decoction,1,,,,,,,Light,Boon,,,2
6695,Decoction,1,,,,,,,Light,Boon,,,3
6697,Decoction,2,,,,,,,Light,Boon,,,4
6692,Decoction,1,,,,,,,Light,Bane,,,1
6694,Decoction,1,,,,,,,Light,Bane,,,2
6696,Decoction,1,,,,,,,Light,Bane,,,3
6698,Decoction,2,,,,,,,Light,Bane,,,4
6691,Bath,1,,,,,,,Light,Boon,,,1
6693,Bath,1,,,,,,,Light,Boon,,,2
6695,Bath,1,,,,,,,Light,Boon,,,3
6697,Bath,2,,,,,,,Light,Boon,,,4
6692,Bath,1,,,,,,,Light,Bane,,,1
6694,Bath,1,,,,,,,Light,Bane,,,2
6696,Bath,1,,,,,,,Light,Bane,,,3
6698,Bath,2,,,,,,,Light,Bane,,,4
6691,Incense,1,,,,,,,Light,Boon,,,1
6693,Incense,1,,,,,,,Light,Boon,,,2
6695,Incense,1,,,,,,,Light,Boon,,,3
6697,Incense,2,,,,,,,Light,Boon,,,4
6692,Incense,1,,,,,,,Light,Bane,,,1
6694,Incense,1,,,,,,,Light,Bane,,,2
6696,Incense,1,,,,,,,Light,Bane,,,3
6698,Incense,2,,,,,,,Light,Bane,,,4
6791,Tea,1,,,,,,,Thought,Boon,,,1
6793,Tea,1,,,,,,,Thought,Boon,,,2
6795,Tea,1,,,,,,,Thought,Boon,,,3
6797,Tea,2,,,,,,,Thought,Boon,,,4
6792,Tea,1,,,,,,,Thought,Bane,,,1
6794,Tea,1,,,,,,,Thought,Bane,,,2
6796,Tea,1,,,,,,,Thought,Bane,,,3
6798,Tea,2,,,,,,,Thought,Bane,,,4
6791,Tincture,1,,,,,,,Thought,Boon,,,1
6793,Tincture,1,,,,,,,Thought,Boon,,,2
6795,Tincture,1,,,,,,,Thought,Boon,,,3
6797,Tincture,2,,,,,,,Thought,Boon,,,4
6792,Tincture,1,,,,,,,Thought,Bane,,,1
6794,Tincture,1,,,,,,,Thought,Bane,,,2
6796,Tincture,1,,,,,,,Thought,Bane,,,3
6798,Tincture,2,,,,,,,Thought,Bane,,,4
6791,Salve,1,,,,,,,Thought,Boon,,,1
6793,Salve,1,,,,,,,Thought,Boon,,,2
6795,Salve,1,,,,,,,Thought,Boon,,,3
6797,Salve,2,,,,,,,Thought,Boon,,,4
6792,Salve,1,,,,,,,Thought,Bane,,,1
6794,Salve,1,,,,,,,Thought,Bane,,,2
6796,Salve,1,,,,,,,Thought,Bane,,,3
6798,Salve,2,,,,,,,Thought,Bane,,,4
6791,Decoction,1,,,,,,,Thought,Boon,,,1
6793,Decoction,1,,,,,,,Thought,Boon,,,2
6795,Decoction,1,,,,,,,Thought,Boon,,,3
6797,Decoction,2,,,,,,,Thought,Boon,,,4
6792,Decoction,1,,,,,,,Thought,Bane,,,1
6794,Decoction,1,,,,,,,Thought,Bane,,,2
6796,Decoction,1,,,,,,,Thought,Bane,,,3
6798,Decoction,2,,,,,,,Thought,Bane,,,4
6791,Bath,1,,,,,,,Thought,Boon,,,1
6793,Bath,1,,,,,,,Thought,Boon,,,2
6795,Bath,1,,,,,,,Thought,Boon,,,3
6797,Bath,2,,,,,,,Thought,Boon,,,4
6792,Bath,1,,,,,,,Thought,Bane,,,1
6794,Bath,1,,,,,,,Thought,Bane,,,2
6796,Bath,1,,,,,,,Thought,Bane,,,3
6798,Bath,2,,,,,,,Thought,Bane,,,4
6791,Incense,1,,,,,,,Thought,Boon,,,1
6793,Incense,1,,,,,,,Thought,Boon,,,2
6795,Incense,1,,,,,,,Thought,Boon,,,3
6797,Incense,2,,,,,,,Thought,Boon,,,4
6792,Incense,1,,,,,,,Thought,Bane,,,1
6794,Incense,1,,,,,,,Thought,Bane,,,2
6796,Incense,1,,,,,,,Thought,Bane,,,3
6798,Incense,2,,,,,,,Thought,Bane,,,4
